Date,Open,High,Low,Close,Adj Close,Volume
4/1/2021,0.935,0.953,0.907,0.917,0.917,0
5/1/2021,0.937,0.963,0.927,0.955,0.955,0
6/1/2021,1,1.054,1,1.042,1.042,0
7/1/2021,1.056,1.088,1.054,1.071,1.071,0
8/1/2021,1.088,1.126,1.075,1.105,1.105,0
10/1/2021,null,null,null,null,null,null
11/1/2021,1.115,1.138,1.1,1.132,1.132,0
12/1/2021,1.165,1.187,1.131,1.138,1.138,0
13/1/2021,1.129,1.133,1.073,1.088,1.088,0
14/1/2021,1.105,1.133,1.087,1.129,1.129,0
15/1/2021,1.104,1.119,1.085,1.097,1.097,0
17/1/2021,null,null,null,null,null,null
19/1/2021,1.113,1.118,1.089,1.092,1.092,0
20/1/2021,1.106,1.106,1.087,1.09,1.09,0
21/1/2021,1.102,1.123,1.096,1.109,1.109,0
22/1/2021,1.087,1.101,1.082,1.091,1.091,0
24/1/2021,null,null,null,null,null,null
25/1/2021,1.067,1.07,1.035,1.04,1.04,0
26/1/2021,1.048,1.05,1.033,1.04,1.04,0
27/1/2021,1.023,1.023,1.001,1.014,1.014,0
28/1/2021,1.008,1.07,1.008,1.057,1.057,0
29/1/2021,1.084,1.105,1.066,1.093,1.093,0
31/1/2021,null,null,null,null,null,null
1/2/2021,1.079,1.088,1.06,1.077,1.077,0
2/2/2021,1.11,1.117,1.096,1.105,1.105,0
3/2/2021,1.124,1.132,1.113,1.131,1.131,0
4/2/2021,1.146,1.162,1.136,1.139,1.139,0
5/2/2021,1.172,1.188,1.136,1.17,1.17,0
7/2/2021,null,null,null,null,null,null
8/2/2021,1.191,1.193,1.15,1.16,1.16,0
9/2/2021,1.15,1.159,1.14,1.157,1.157,0
10/2/2021,1.174,1.176,1.131,1.133,1.133,0
11/2/2021,1.152,1.165,1.138,1.158,1.158,0
12/2/2021,1.183,1.202,1.178,1.2,1.2,0
14/2/2021,null,null,null,null,null,null
16/2/2021,1.245,1.301,1.245,1.299,1.299,0
17/2/2021,1.314,1.331,1.269,1.301,1.301,0
18/2/2021,1.301,1.318,1.277,1.287,1.287,0
19/2/2021,1.313,1.362,1.308,1.345,1.345,0
21/2/2021,null,null,null,null,null,null
22/2/2021,1.359,1.37,1.326,1.37,1.37,0
23/2/2021,1.359,1.389,1.342,1.362,1.362,0
24/2/2021,1.396,1.435,1.369,1.389,1.389,0
25/2/2021,1.456,1.614,1.432,1.518,1.518,0
26/2/2021,1.47,1.519,1.439,1.46,1.46,0
28/2/2021,null,null,null,null,null,null
1/3/2021,1.451,1.46,1.407,1.446,1.446,0
2/3/2021,1.446,1.451,1.403,1.415,1.415,0
3/3/2021,1.465,1.498,1.455,1.47,1.47,0
4/3/2021,1.469,1.555,1.458,1.55,1.55,0
5/3/2021,1.577,1.626,1.54,1.554,1.554,0
7/3/2021,null,null,null,null,null,null
8/3/2021,1.592,1.606,1.577,1.596,1.596,0
9/3/2021,1.544,1.563,1.528,1.546,1.546,0
10/3/2021,1.561,1.563,1.506,1.52,1.52,0
11/3/2021,1.497,1.547,1.497,1.527,1.527,0
12/3/2021,1.591,1.642,1.584,1.635,1.635,0
14/3/2021,null,null,null,null,null,null
15/3/2021,1.627,1.627,1.595,1.607,1.607,0
16/3/2021,1.593,1.629,1.585,1.621,1.621,0
17/3/2021,1.662,1.689,1.632,1.641,1.641,0
18/3/2021,1.73,1.754,1.724,1.73,1.73,0
19/3/2021,1.689,1.75,1.682,1.732,1.732,0
21/3/2021,null,null,null,null,null,null
